OBJECTID,FECHA,ID_BALIZA,Máximo,Promedio,MEDIA,MAXIMO
179,2022/01/19 00:00:00+00,14,0,0,0,0
181,2022/01/20 00:00:00+00,1,0,0,0,0
182,2022/01/20 00:00:00+00,2,0,0,0,0
183,2022/01/20 00:00:00+00,3,141118,45385,45385,141118
184,2022/01/20 00:00:00+00,4,0,0,0,0
185,2022/01/20 00:00:00+00,5,0,0,0,0
186,2022/01/20 00:00:00+00,6,18910,6745,6745,18910
187,2022/01/20 00:00:00+00,7,0,0,0,0
188,2022/01/20 00:00:00+00,8,40000,13645,13645,40000
189,2022/01/20 00:00:00+00,9,40000,31415,31415,40000
190,2022/01/20 00:00:00+00,10,6676,2986,2986,6676
191,2022/01/20 00:00:00+00,11,0,0,0,0
192,2022/01/20 00:00:00+00,12,0,0,0,0
193,2022/01/20 00:00:00+00,13,0,0,0,0
194,2022/01/20 00:00:00+00,14,0,0,0,0
196,2022/01/21 00:00:00+00,1,0,0,0,0
197,2022/01/21 00:00:00+00,2,0,0,0,0
198,2022/01/21 00:00:00+00,3,186056,93760,93760,186056
199,2022/01/21 00:00:00+00,4,0,0,0,0
200,2022/01/21 00:00:00+00,5,0,0,0,0
201,2022/01/21 00:00:00+00,6,0,0,0,0
202,2022/01/21 00:00:00+00,7,0,0,0,0
203,2022/01/21 00:00:00+00,8,40000,40000,40000,40000
204,2022/01/21 00:00:00+00,9,40000,39963,39963,40000
205,2022/01/21 00:00:00+00,10,24293,8288,8288,24293
206,2022/01/21 00:00:00+00,11,0,0,0,0
207,2022/01/21 00:00:00+00,12,0,0,0,0
208,2022/01/21 00:00:00+00,13,0,0,0,0
209,2022/01/21 00:00:00+00,14,0,0,0,0
211,2022/01/22 00:00:00+00,1,0,0,0,0
212,2022/01/22 00:00:00+00,2,0,0,0,0
213,2022/01/22 00:00:00+00,3,189627,56320,56320,189627
214,2022/01/22 00:00:00+00,4,0,0,0,0
215,2022/01/22 00:00:00+00,5,0,0,0,0
216,2022/01/22 00:00:00+00,6,0,0,0,0
217,2022/01/22 00:00:00+00,7,0,0,0,0
218,2022/01/22 00:00:00+00,8,40000,39796,39796,40000
219,2022/01/22 00:00:00+00,9,40000,29392,29392,40000
220,2022/01/22 00:00:00+00,10,14436,6191,6191,14436
221,2022/01/22 00:00:00+00,11,0,0,0,0
222,2022/01/22 00:00:00+00,12,0,0,0,0
223,2022/01/22 00:00:00+00,13,0,0,0,0
224,2022/01/22 00:00:00+00,14,0,0,0,0
226,2022/01/23 00:00:00+00,1,0,0,0,0
227,2022/01/23 00:00:00+00,2,0,0,0,0
228,2022/01/23 00:00:00+00,3,186987,47082,47082,186987
229,2022/01/23 00:00:00+00,4,0,0,0,0
230,2022/01/23 00:00:00+00,5,0,0,0,0
231,2022/01/23 00:00:00+00,6,0,0,0,0
232,2022/01/23 00:00:00+00,7,1726,880,880,1726
233,2022/01/23 00:00:00+00,8,40000,39999,39999,40000
234,2022/01/23 00:00:00+00,9,40000,38845,38845,40000
235,2022/01/23 00:00:00+00,10,20006,8150,8150,20006
236,2022/01/23 00:00:00+00,11,0,0,0,0
237,2022/01/23 00:00:00+00,12,0,0,0,0
238,2022/01/23 00:00:00+00,13,0,0,0,0
239,2022/01/23 00:00:00+00,14,0,0,0,0
241,2022/01/24 00:00:00+00,1,0,0,0,0
242,2022/01/24 00:00:00+00,2,0,0,0,0
243,2022/01/24 00:00:00+00,3,175619,19810,19810,175619
244,2022/01/24 00:00:00+00,4,0,0,0,0
245,2022/01/24 00:00:00+00,5,0,0,0,0
246,2022/01/24 00:00:00+00,6,32982,16186,16186,32982
247,2022/01/24 00:00:00+00,7,838,669,669,838
248,2022/01/24 00:00:00+00,8,40000,39315,39315,40000
249,2022/01/24 00:00:00+00,9,40000,29073,29073,40000
250,2022/01/24 00:00:00+00,10,17484,6268,6268,17484
251,2022/01/24 00:00:00+00,11,0,0,0,0
252,2022/01/24 00:00:00+00,12,0,0,0,0
253,2022/01/24 00:00:00+00,13,0,0,0,0
254,2022/01/24 00:00:00+00,14,0,0,0,0
256,2022/01/25 00:00:00+00,1,0,0,0,0
257,2022/01/25 00:00:00+00,2,0,0,0,0
258,2022/01/25 00:00:00+00,3,188391,20702,20702,188391
259,2022/01/25 00:00:00+00,4,0,0,0,0
260,2022/01/25 00:00:00+00,5,0,0,0,0
261,2022/01/25 00:00:00+00,6,42473,15749,15749,42473
262,2022/01/25 00:00:00+00,7,555,366,366,555
263,2022/01/25 00:00:00+00,8,40000,36953,36953,40000
264,2022/01/25 00:00:00+00,9,29629,13301,13301,29629
265,2022/01/25 00:00:00+00,10,10006,5161,5161,10006
266,2022/01/25 00:00:00+00,11,0,0,0,0
267,2022/01/25 00:00:00+00,12,0,0,0,0
268,2022/01/25 00:00:00+00,13,0,0,0,0
269,2022/01/25 00:00:00+00,14,0,0,0,0
271,2022/01/26 00:00:00+00,1,0,0,0,0
272,2022/01/26 00:00:00+00,2,0,0,0,0
273,2022/01/26 00:00:00+00,3,40727,11748,11748,40727
274,2022/01/26 00:00:00+00,4,0,0,0,0
275,2022/01/26 00:00:00+00,5,0,0,0,0
276,2022/01/26 00:00:00+00,6,46832,16170,16170,46832
277,2022/01/26 00:00:00+00,7,543,281,281,543
278,2022/01/26 00:00:00+00,8,40000,39999,39999,40000
279,2022/01/26 00:00:00+00,9,35632,18038,18038,35632
280,2022/01/26 00:00:00+00,10,8102,4478,4478,8102
281,2022/01/26 00:00:00+00,11,0,0,0,0
282,2022/01/26 00:00:00+00,12,0,0,0,0
283,2022/01/26 00:00:00+00,13,0,0,0,0
284,2022/01/26 00:00:00+00,14,0,0,0,0
286,2022/01/27 00:00:00+00,1,0,0,0,0
287,2022/01/27 00:00:00+00,2,0,0,0,0
288,2022/01/27 00:00:00+00,3,17701,5423,5423,17701
289,2022/01/27 00:00:00+00,4,0,0,0,0
290,2022/01/27 00:00:00+00,5,0,0,0,0
291,2022/01/27 00:00:00+00,6,41287,20010,20010,41287
292,2022/01/27 00:00:00+00,7,597,400,400,597
293,2022/01/27 00:00:00+00,8,40000,39120,39120,40000
294,2022/01/27 00:00:00+00,9,34111,17390,17390,34111
295,2022/01/27 00:00:00+00,10,10217,5581,5581,10217
296,2022/01/27 00:00:00+00,11,0,0,0,0
297,2022/01/27 00:00:00+00,12,0,0,0,0
298,2022/01/27 00:00:00+00,13,0,0,0,0
299,2022/01/27 00:00:00+00,14,0,0,0,0
301,2022/01/28 00:00:00+00,1,0,0,0,0
302,2022/01/28 00:00:00+00,2,0,0,0,0
303,2022/01/28 00:00:00+00,3,11597,4399,4399,11597
304,2022/01/28 00:00:00+00,4,0,0,0,0
305,2022/01/28 00:00:00+00,5,0,0,0,0
306,2022/01/28 00:00:00+00,6,46952,23106,23106,46952
307,2022/01/28 00:00:00+00,7,457,325,325,457
308,2022/01/28 00:00:00+00,8,40000,40000,40000,40000
309,2022/01/28 00:00:00+00,9,35308,20203,20203,35308
310,2022/01/28 00:00:00+00,10,10909,6074,6074,10909
311,2022/01/28 00:00:00+00,11,0,0,0,0
312,2022/01/28 00:00:00+00,12,0,0,0,0
313,2022/01/28 00:00:00+00,13,0,0,0,0
314,2022/01/28 00:00:00+00,14,0,0,0,0
316,2022/01/29 00:00:00+00,1,0,0,0,0
317,2022/01/29 00:00:00+00,2,0,0,0,0
318,2022/01/29 00:00:00+00,3,15336,4408,4408,15336
319,2022/01/29 00:00:00+00,4,0,0,0,0
320,2022/01/29 00:00:00+00,5,0,0,0,0
321,2022/01/29 00:00:00+00,6,40857,19479,19479,40857
322,2022/01/29 00:00:00+00,7,602,332,332,602
323,2022/01/29 00:00:00+00,8,40000,40000,40000,40000
324,2022/01/29 00:00:00+00,9,35842,19811,19811,35842
325,2022/01/29 00:00:00+00,10,10977,6181,6181,10977
326,2022/01/29 00:00:00+00,11,0,0,0,0
327,2022/01/29 00:00:00+00,12,0,0,0,0
328,2022/01/29 00:00:00+00,13,0,0,0,0
329,2022/01/29 00:00:00+00,14,0,0,0,0
331,2022/01/30 00:00:00+00,1,0,0,0,0
332,2022/01/30 00:00:00+00,2,0,0,0,0
333,2022/01/30 00:00:00+00,3,9812,4010,4010,9812
334,2022/01/30 00:00:00+00,4,0,0,0,0
335,2022/01/30 00:00:00+00,5,0,0,0,0
336,2022/01/30 00:00:00+00,6,48189,22368,22368,48189
337,2022/01/30 00:00:00+00,7,578,348,348,578
338,2022/01/30 00:00:00+00,8,40000,40000,40000,40000
339,2022/01/30 00:00:00+00,9,32412,18175,18175,32412
340,2022/01/30 00:00:00+00,10,14338,7265,7265,14338
341,2022/01/30 00:00:00+00,11,0,0,0,0
342,2022/01/30 00:00:00+00,12,0,0,0,0
343,2022/01/30 00:00:00+00,13,0,0,0,0
344,2022/01/30 00:00:00+00,14,0,0,0,0
346,2022/01/31 00:00:00+00,1,0,0,0,0
347,2022/01/31 00:00:00+00,2,0,0,0,0
348,2022/01/31 00:00:00+00,3,12467,4605,4605,12467
349,2022/01/31 00:00:00+00,4,0,0,0,0
350,2022/01/31 00:00:00+00,5,0,0,0,0
351,2022/01/31 00:00:00+00,6,45729,21795,21795,45729
352,2022/01/31 00:00:00+00,7,601,350,350,601
353,2022/01/31 00:00:00+00,8,40000,39108,39108,40000
354,2022/01/31 00:00:00+00,9,33041,16385,16385,33041
355,2022/01/31 00:00:00+00,10,13048,7347,7347,13048
356,2022/01/31 00:00:00+00,11,0,0,0,0
357,2022/01/31 00:00:00+00,12,0,0,0,0
358,2022/01/31 00:00:00+00,13,0,0,0,0
359,2022/01/31 00:00:00+00,14,0,0,0,0
361,2022/02/01 00:00:00+00,1,0,0,0,0
362,2022/02/01 00:00:00+00,2,0,0,0,0
363,2022/02/01 00:00:00+00,3,0,0,0,0
364,2022/02/01 00:00:00+00,4,0,0,0,0
365,2022/02/01 00:00:00+00,5,0,0,0,0
366,2022/02/01 00:00:00+00,6,47660,18329,18329,47660
367,2022/02/01 00:00:00+00,7,492,394,394,492
368,2022/02/01 00:00:00+00,8,40000,40000,40000,40000
369,2022/02/01 00:00:00+00,9,31862,16830,16830,31862
370,2022/02/01 00:00:00+00,10,23466,10136,10136,23466
371,2022/02/01 00:00:00+00,11,0,0,0,0
372,2022/02/01 00:00:00+00,12,0,0,0,0
373,2022/02/01 00:00:00+00,13,0,0,0,0
374,2022/02/01 00:00:00+00,14,0,0,0,0
376,2022/02/02 00:00:00+00,1,0,0,0,0
377,2022/02/02 00:00:00+00,2,0,0,0,0
378,2022/02/02 00:00:00+00,3,0,0,0,0
379,2022/02/02 00:00:00+00,4,0,0,0,0
380,2022/02/02 00:00:00+00,5,0,0,0,0
381,2022/02/02 00:00:00+00,6,46745,15309,15309,46745
382,2022/02/02 00:00:00+00,7,1606,695,695,1606
383,2022/02/02 00:00:00+00,8,40000,33582,33582,40000
384,2022/02/02 00:00:00+00,9,32237,12101,12101,32237
385,2022/02/02 00:00:00+00,10,39414,11213,11213,39414
386,2022/02/02 00:00:00+00,11,0,0,0,0
387,2022/02/02 00:00:00+00,12,0,0,0,0
388,2022/02/02 00:00:00+00,13,0,0,0,0
389,2022/02/02 00:00:00+00,14,0,0,0,0
391,2022/02/03 00:00:00+00,1,0,0,0,0
392,2022/02/03 00:00:00+00,2,0,0,0,0
393,2022/02/03 00:00:00+00,3,0,0,0,0
394,2022/02/03 00:00:00+00,4,0,0,0,0
395,2022/02/03 00:00:00+00,5,0,0,0,0
396,2022/02/03 00:00:00+00,6,42017,17662,17662,42017
397,2022/02/03 00:00:00+00,7,7932,1636,1636,7932
398,2022/02/03 00:00:00+00,8,40000,35113,35113,40000
399,2022/02/03 00:00:00+00,9,34415,16567,16567,34415
400,2022/02/03 00:00:00+00,10,24727,11428,11428,24727
401,2022/02/03 00:00:00+00,11,0,0,0,0
402,2022/02/03 00:00:00+00,12,0,0,0,0
403,2022/02/03 00:00:00+00,13,0,0,0,0
404,2022/02/03 00:00:00+00,14,0,0,0,0
406,2022/02/04 00:00:00+00,1,0,0,0,0
407,2022/02/04 00:00:00+00,2,0,0,0,0
408,2022/02/04 00:00:00+00,3,0,0,0,0
409,2022/02/04 00:00:00+00,4,0,0,0,0
410,2022/02/04 00:00:00+00,5,0,0,0,0
411,2022/02/04 00:00:00+00,6,37788,18867,18867,37788
412,2022/02/04 00:00:00+00,7,526,375,375,526
413,2022/02/04 00:00:00+00,8,40000,39018,39018,40000
414,2022/02/04 00:00:00+00,9,32220,18076,18076,32220
415,2022/02/04 00:00:00+00,10,39586,12943,12943,39586
416,2022/02/04 00:00:00+00,11,0,0,0,0
417,2022/02/04 00:00:00+00,12,0,0,0,0
418,2022/02/04 00:00:00+00,13,0,0,0,0
419,2022/02/04 00:00:00+00,14,0,0,0,0
421,2022/02/05 00:00:00+00,1,0,0,0,0
422,2022/02/05 00:00:00+00,2,0,0,0,0
423,2022/02/05 00:00:00+00,3,0,0,0,0
424,2022/02/05 00:00:00+00,4,0,0,0,0
425,2022/02/05 00:00:00+00,5,0,0,0,0
426,2022/02/05 00:00:00+00,6,35223,17589,17589,35223
427,2022/02/05 00:00:00+00,7,656,435,435,656
428,2022/02/05 00:00:00+00,8,40000,40000,40000,40000
429,2022/02/05 00:00:00+00,9,34691,15802,15802,34691
430,2022/02/05 00:00:00+00,10,28790,8445,8445,28790
431,2022/02/05 00:00:00+00,11,0,0,0,0
432,2022/02/05 00:00:00+00,12,0,0,0,0
433,2022/02/05 00:00:00+00,13,0,0,0,0
434,2022/02/05 00:00:00+00,14,0,0,0,0
436,2022/02/06 00:00:00+00,1,0,0,0,0
437,2022/02/06 00:00:00+00,2,0,0,0,0
438,2022/02/06 00:00:00+00,3,0,0,0,0
439,2022/02/06 00:00:00+00,4,0,0,0,0
440,2022/02/06 00:00:00+00,5,0,0,0,0
441,2022/02/06 00:00:00+00,6,20536,12450,12450,20536
442,2022/02/06 00:00:00+00,7,580,458,458,580
443,2022/02/06 00:00:00+00,8,40000,39948,39948,40000
444,2022/02/06 00:00:00+00,9,34929,15775,15775,34929
445,2022/02/06 00:00:00+00,10,20937,10341,10341,20937
446,2022/02/06 00:00:00+00,11,0,0,0,0
447,2022/02/06 00:00:00+00,12,0,0,0,0
448,2022/02/06 00:00:00+00,13,0,0,0,0
449,2022/02/06 00:00:00+00,14,0,0,0,0
451,2022/02/07 00:00:00+00,1,0,0,0,0
452,2022/02/07 00:00:00+00,2,0,0,0,0
453,2022/02/07 00:00:00+00,3,0,0,0,0
454,2022/02/07 00:00:00+00,4,0,0,0,0
455,2022/02/07 00:00:00+00,5,0,0,0,0
456,2022/02/07 00:00:00+00,6,24675,13329,13329,24675
457,2022/02/07 00:00:00+00,7,618,468,468,618
458,2022/02/07 00:00:00+00,8,40000,40000,40000,40000
459,2022/02/07 00:00:00+00,9,33089,15260,15260,33089
460,2022/02/07 00:00:00+00,10,21686,9726,9726,21686
461,2022/02/07 00:00:00+00,11,0,0,0,0
462,2022/02/07 00:00:00+00,12,0,0,0,0
463,2022/02/07 00:00:00+00,13,0,0,0,0
464,2022/02/07 00:00:00+00,14,0,0,0,0
466,2022/02/08 00:00:00+00,1,0,0,0,0
467,2022/02/08 00:00:00+00,2,0,0,0,0
468,2022/02/08 00:00:00+00,3,0,0,0,0
469,2022/02/08 00:00:00+00,4,9700,3525,3525,9700
470,2022/02/08 00:00:00+00,5,50000,38442,38442,50000
471,2022/02/08 00:00:00+00,6,39790,16579,16579,39790
472,2022/02/08 00:00:00+00,7,736,468,468,736
473,2022/02/08 00:00:00+00,8,40000,37168,37168,40000
474,2022/02/08 00:00:00+00,9,37892,18341,18341,37892
475,2022/02/08 00:00:00+00,10,11851,5476,5476,11851
476,2022/02/08 00:00:00+00,11,0,0,0,0
477,2022/02/08 00:00:00+00,12,13100,3318,3318,13100
478,2022/02/08 00:00:00+00,13,24050,4543,4543,24050
479,2022/02/08 00:00:00+00,14,16300,5934,5934,16300
481,2022/02/09 00:00:00+00,1,0,0,0,0
482,2022/02/09 00:00:00+00,2,0,0,0,0
483,2022/02/09 00:00:00+00,3,0,0,0,0
484,2022/02/09 00:00:00+00,4,14350,3880,3880,14350
485,2022/02/09 00:00:00+00,5,49950,27303,27303,49950
486,2022/02/09 00:00:00+00,6,41110,16372,16372,41110
487,2022/02/09 00:00:00+00,7,617,386,386,617
488,2022/02/09 00:00:00+00,8,40000,38542,38542,40000
489,2022/02/09 00:00:00+00,9,39354,23809,23809,39354
490,2022/02/09 00:00:00+00,10,9717,4963,4963,9717
491,2022/02/09 00:00:00+00,11,0,0,0,0
492,2022/02/09 00:00:00+00,12,49950,15645,15645,49950
493,2022/02/09 00:00:00+00,13,49950,9333,9333,49950
494,2022/02/09 00:00:00+00,14,43500,9020,9020,43500
496,2022/02/10 00:00:00+00,1,0,0,0,0
497,2022/02/10 00:00:00+00,2,0,0,0,0
498,2022/02/10 00:00:00+00,3,0,0,0,0
499,2022/02/10 00:00:00+00,4,13450,3954,3954,13450
500,2022/02/10 00:00:00+00,5,7600,3354,3354,7600
501,2022/02/10 00:00:00+00,6,44035,11297,11297,44035
502,2022/02/10 00:00:00+00,7,4338,1333,1333,4338
503,2022/02/10 00:00:00+00,8,40000,32749,32749,40000
504,2022/02/10 00:00:00+00,9,39933,19287,19287,39933
505,2022/02/10 00:00:00+00,10,19271,7335,7335,19271
506,2022/02/10 00:00:00+00,11,0,0,0,0
507,2022/02/10 00:00:00+00,12,49950,22585,22585,49950
508,2022/02/10 00:00:00+00,13,49950,24281,24281,49950
509,2022/02/10 00:00:00+00,14,46300,15057,15057,46300
511,2022/02/11 00:00:00+00,1,0,0,0,0
512,2022/02/11 00:00:00+00,2,0,0,0,0
513,2022/02/11 00:00:00+00,3,0,0,0,0
514,2022/02/11 00:00:00+00,4,13250,3845,3845,13250
515,2022/02/11 00:00:00+00,5,50000,28134,28134,50000
516,2022/02/11 00:00:00+00,6,28628,13740,13740,28628
517,2022/02/11 00:00:00+00,7,1516,894,894,1516
518,2022/02/11 00:00:00+00,8,40000,40000,40000,40000
519,2022/02/11 00:00:00+00,9,37324,20000,20000,37324
520,2022/02/11 00:00:00+00,10,21009,10987,10987,21009
521,2022/02/11 00:00:00+00,11,0,0,0,0
522,2022/02/11 00:00:00+00,12,50000,23430,23430,50000
523,2022/02/11 00:00:00+00,13,50000,31470,31470,50000
524,2022/02/11 00:00:00+00,14,43400,15125,15125,43400
526,2022/02/12 00:00:00+00,1,0,0,0,0
527,2022/02/12 00:00:00+00,2,0,0,0,0
528,2022/02/12 00:00:00+00,3,0,0,0,0
529,2022/02/12 00:00:00+00,4,9300,3343,3343,9300
530,2022/02/12 00:00:00+00,5,50000,43850,43850,50000
531,2022/02/12 00:00:00+00,6,40646,18256,18256,40646
532,2022/02/12 00:00:00+00,7,567,434,434,567
533,2022/02/12 00:00:00+00,8,40000,36921,36921,40000
534,2022/02/12 00:00:00+00,9,37458,15842,15842,37458
535,2022/02/12 00:00:00+00,10,20701,6854,6854,20701
536,2022/02/12 00:00:00+00,11,0,0,0,0
537,2022/02/12 00:00:00+00,12,49700,15380,15380,49700
538,2022/02/12 00:00:00+00,13,50000,19942,19942,50000
539,2022/02/12 00:00:00+00,14,42750,16131,16131,42750
541,2022/02/13 00:00:00+00,1,0,0,0,0
542,2022/02/13 00:00:00+00,2,0,0,0,0
543,2022/02/13 00:00:00+00,3,0,0,0,0
